raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
ISC Rating System,Moody 29,,,pending,,
ISC Rating System,Moody S31,,,pending,,
ISC Rating System,DUFOUR 460 GL 2.20,,,pending,,
ISC Rating System,Hanse 370e,,,pending,,
ISC Rating System,Van de Stadt 40,,,pending,,
ISC Rating System,Dehler 39 SQ,,,pending,,
ISC Rating System,Trapper 500,,,pending,,
ISC Rating System,Evolution 22,,,pending,,
ISC Rating System,Moody DS 48,,,pending,,
ISC Rating System,Bavaria 40,,,pending,,
ISC Rating System,Sadler 32,,,pending,,
ISC Rating System,Rival 32,,,pending,,
ISC Rating System,Moody 336,,,pending,,
ISC Rating System,Bavaria 38,,,pending,,
ISC Rating System,Dufour 28,,,pending,,
ISC Rating System,Sadler 29,,,pending,,
ISC Rating System,Trapper 300,,,pending,,
ISC Rating System,Moody 31 Mk1,,,pending,,
ISC Rating System,Dufour 430 GL,,,pending,,
ISC Rating System,Bavaria 35 Match,,,pending,,
ISC Rating System,Hallberg Rassy,,,pending,,
ISC Rating System,MUSTANG 30 MOD Kee,,,pending,,
ISC Rating System,J/109,,,pending,,
ISC Rating System,Hanse 371,,,pending,,
ISC Rating System,swan 43,,,pending,,
ISC Rating System,Jeanneau Fantasia,,,pending,,
ISC Rating System,Legend 33,,,pending,,
ISC Rating System,Southerly 35RS,,,pending,,
ISC Rating System,Seacracker 33,,,pending,,
ISC Rating System,Ocean 75,,,pending,,
ISC Rating System,hansa 505,,,pending,,
ISC Rating System,Oceanis 411 celebr,,,pending,,
ISC Rating System,Beneteau First 29,,,pending,,
ISC Rating System,Hanse 301,,,pending,,
ISC Rating System,Jeanneau 349 Sun O,,,pending,,
ISC Rating System,Oceanis 45,,,pending,,
ISC Rating System,Jenneau 39i perfor,,,pending,,
ISC Rating System,Trapper 501,,,pending,,
ISC Rating System,Jouet 760,,,pending,,
ISC Rating System,Endurance 40 stays,,,pending,,
ISC Rating System,Hallberg Rassy 34,,,pending,,
ISC Rating System,Sigma 33C,,,pending,,
ISC Rating System,Westerly Oceanrang,,,pending,,
ISC Rating System,Beneteau First 40.,,,pending,,
ISC Rating System,Jeanneau 53i,,,pending,,
ISC Rating System,Dufour 365,,,pending,,
ISC Rating System,Bavaria 46,,,pending,,
ISC Rating System,She 36,,,pending,,
ISC Rating System,Feeling 1040,,,pending,,
ISC Rating System,Hurley 24/70,,,pending,,
ISC Rating System,Dufour 365 GL,,,pending,,
ISC Rating System,Saffier SE 24 lite,,,pending,,
ISC Rating System,Moody 31 Mk2,,,pending,,
ISC Rating System,Contessa 26 OOD 20,,,pending,,
ISC Rating System,Hunter Liberty 22,,,pending,,
ISC Rating System,Feeling 36,,,pending,,
ISC Rating System,Hunter Legend 336,,,pending,,
ISC Rating System,Beneteau Oceanis,,,pending,,
Clipper Yachts,Clipper 70,,,pending,,
Clipper Yachts,CLIPPER 68,,,pending,,
Grand Prix and MOCRA Racing,Firebird,,,pending,,
Grand Prix and MOCRA Racing,Prototype Trimaran,,,pending,,
Grand Prix and MOCRA Racing,Grainger TR36,,,pending,,
Grand Prix and MOCRA Racing,Dragonfly 25 Sport,,,pending,,
Grand Prix and MOCRA Racing,Rapido40,,,pending,,
Grand Prix and MOCRA Racing,MOD70,,,pending,,
Grand Prix and MOCRA Racing,Dragonfly 28 Perfo,,,pending,,
Grand Prix and MOCRA Racing,Dragonfly 920 Tour,,,pending,,
Grand Prix and MOCRA Racing,Dragonfly 800,,,pending,,
Grand Prix and MOCRA Racing,Farrier 9A,,,pending,,
Grand Prix and MOCRA Racing,Dazcat 1295,,,pending,,
Grand Prix and MOCRA Racing,Magnum 21,,,pending,,
Grand Prix and MOCRA Racing,FC26,,,pending,,
Grand Prix and MOCRA Racing,Grainger 075,,,pending,,
Grand Prix and MOCRA Racing,Farrier 32AX,,,pending,,
